+--------+---------------------+-----------------+
| idlogs | data_hora           | dados_recebidos |
|    380 | 2023-11-07 20:54:12 |               2 |
|    381 | 2023-11-07 22:02:02 |             311 |
|    382 | 2023-11-07 22:19:31 |             313 |
|    383 | 2023-11-07 22:20:20 |             112 |
|    384 | 2023-11-08 07:20:07 |             311 |
|    385 | 2023-11-08 09:10:20 |         1111112 |
|    386 | 2023-11-08 09:36:04 |               2 |
|    387 | 2023-11-08 09:36:45 |               6 |
|    388 | 2023-11-08 10:08:19 |             311 |
|    389 | 2023-11-08 10:08:48 |               2 |
|    390 | 2023-11-08 10:47:16 |               2 |
|    391 | 2023-11-08 10:48:50 |               2 |
|    392 | 2023-11-08 10:49:59 |             314 |
|    393 | 2023-11-08 11:01:07 |               2 |
|    394 | 2023-11-08 11:43:54 |               2 |
|    395 | 2023-11-08 12:02:18 |               6 |
|    396 | 2023-11-08 12:07:06 |               2 |
|    397 | 2023-11-08 12:42:29 |               6 |
|    398 | 2023-11-08 13:03:39 |         1111112 |
|    399 | 2023-11-08 13:49:24 |               2 |
|    400 | 2023-11-08 13:52:37 |               6 |
|    401 | 2023-11-08 13:53:29 |         1111112 |
|    402 | 2023-11-08 13:56:56 |               6 |
|    403 | 2023-11-08 14:48:40 |               6 |
|    404 | 2023-11-08 14:57:18 |         1111112 |
|    405 | 2023-11-08 15:57:21 |           11112 |
|    406 | 2023-11-08 16:43:54 |               2 |
|    407 | 2023-11-08 16:44:22 |         1111112 |
|    408 | 2023-11-08 17:24:33 |               6 |
|    409 | 2023-11-08 17:36:49 |               2 |
|    410 | 2023-11-08 17:42:04 |               2 |
|    411 | 2023-11-08 18:29:38 |               2 |
|    412 | 2023-11-08 18:31:30 |               2 |
|    413 | 2023-11-08 18:54:04 |         1111112 |
|    414 | 2023-11-08 18:54:22 |               6 |
|    415 | 2023-11-08 20:48:25 |               2 |
|    416 | 2023-11-08 20:48:29 |               2 |
|    417 | 2023-11-08 20:55:15 |             112 |
|    418 | 2023-11-08 20:59:56 |               2 |
|    419 | 2023-11-09 01:18:05 |               2 |
|    420 | 2023-11-09 07:49:06 |               2 |
|    421 | 2023-11-09 07:49:35 |               6 |
|    422 | 2023-11-09 08:45:49 |         1111112 |
|    423 | 2023-11-09 09:02:01 |           11112 |
|    424 | 2023-11-09 10:15:54 |               2 |
|    425 | 2023-11-09 10:16:21 |         1111112 |
|    426 | 2023-11-09 10:18:13 |               6 |
|    427 | 2023-11-09 11:31:03 |               6 |
|    428 | 2023-11-09 12:08:58 |               2 |
|    429 | 2023-11-09 12:13:05 |               2 |
|    430 | 2023-11-09 14:22:47 |             112 |
|    431 | 2023-11-09 14:23:55 |           11112 |
|    432 | 2023-11-09 15:02:13 |               6 |
|    433 | 2023-11-09 15:14:40 |           11112 |
|    434 | 2023-11-09 15:15:40 |           51113 |
|    435 | 2023-11-09 15:15:44 |         1111112 |
|    436 | 2023-11-09 15:15:45 |             512 |
|    437 | 2023-11-09 15:15:50 |           51114 |
|    438 | 2023-11-09 15:15:52 |           51112 |
|    439 | 2023-11-09 15:15:54 |           51113 |
|    440 | 2023-11-09 15:15:56 |           51111 |
|    441 | 2023-11-09 15:16:42 |             411 |
|    442 | 2023-11-09 15:17:14 |             411 |
|    443 | 2023-11-09 17:50:16 |         1111112 |
|    444 | 2023-11-09 18:26:33 |         1111112 |
|    445 | 2023-11-09 19:11:48 |               6 |
|    446 | 2023-11-09 19:59:28 |               2 |
|    447 | 2023-11-09 20:57:33 |               6 |
|    448 | 2023-11-09 20:57:59 |               6 |
|    449 | 2023-11-09 20:58:00 |               2 |
|    450 | 2023-11-09 20:58:27 |             112 |
|    451 | 2023-11-09 22:20:40 |           11112 |
|    452 | 2023-11-10 08:07:22 |               6 |
|    453 | 2023-11-10 09:16:34 |         1111112 |
|    454 | 2023-11-10 09:25:57 |             314 |
|    455 | 2023-11-10 11:08:28 |               6 |
|    456 | 2023-11-10 12:09:38 |               6 |
|    457 | 2023-11-10 12:40:35 |               2 |
|    458 | 2023-11-10 12:59:59 |               6 |
|    459 | 2023-11-10 13:00:17 |               2 |
|    460 | 2023-11-10 13:15:49 |           51113 |
|    461 | 2023-11-10 13:48:13 |               6 |
|    462 | 2023-11-10 13:48:35 |             312 |
|    463 | 2023-11-10 13:49:06 |         1111112 |
|    464 | 2023-11-10 15:58:29 |             314 |
|    465 | 2023-11-10 17:03:43 |               6 |
|    466 | 2023-11-10 17:04:10 |               2 |
|    467 | 2023-11-10 17:22:07 |             312 |
|    468 | 2023-11-11 10:52:06 |           11112 |
