idlogs,data,hora,dados_recebidos
+--------+---------------------+-----------------+
idlogs,data_hora,dados_recebidos
+--------+---------------------+-----------------+
436,2023-11-09,15:15:45,5121
437,2023-11-09,15:15:50,511141
438,2023-11-09,15:15:52,511121
439,2023-11-09,15:15:54,511131
440,2023-11-09,15:15:56,511111
441,2023-11-09,15:16:42,4111
442,2023-11-09,15:17:14,4111
443,2023-11-09,17:50:16,11111121
444,2023-11-09,18:26:33,11111121
445,2023-11-09,19:11:48,61
446,2023-11-09,19:59:28,21
447,2023-11-09,20:57:33,61
448,2023-11-09,20:57:59,61
449,2023-11-09,20:58:00,21
450,2023-11-09,20:58:27,1121
451,2023-11-09,22:20:40,111121
452,2023-11-10,08:07:22,61
453,2023-11-10,09:16:34,11111121
454,2023-11-10,09:25:57,3141
455,2023-11-10,11:08:28,61
456,2023-11-10,12:09:38,61
457,2023-11-10,12:40:35,21
458,2023-11-10,12:59:59,61
459,2023-11-10,13:00:17,21
460,2023-11-10,13:15:49,511131
461,2023-11-10,13:48:13,61
462,2023-11-10,13:48:35,3121
463,2023-11-10,13:49:06,11111121
464,2023-11-10,15:58:29,3141
465,2023-11-10,17:03:43,61
466,2023-11-10,17:04:10,21
467,2023-11-10,17:22:07,3121
468,2023-11-11,10:52:06,111121
469,2023-11-11,15:25:49,61
470,2023-11-11,15:26:40,111121
471,2023-11-11,15:48:04,61
472,2023-11-11,19:53:29,61
473,2023-11-11,19:53:46,3111
474,2023-11-11,20:13:11,111121
475,2023-11-11,20:51:49,111121
476,2023-11-12,08:24:45,61
477,2023-11-12,08:26:48,3111
478,2023-11-12,12:53:49,61
479,2023-11-12,13:55:37,61
480,2023-11-12,14:22:40,111121
481,2023-11-12,23:04:42,21
482,2023-11-12,23:05:17,3161
483,2023-11-13,06:28:11,111121
484,2023-11-13,07:51:21,11111121
485,2023-11-13,08:31:00,111121
486,2023-11-13,08:46:36,61
487,2023-11-13,08:46:45,21
488,2023-11-13,08:51:52,61
489,2023-11-13,10:09:27,111121
490,2023-11-13,10:13:34,21
491,2023-11-13,10:18:30,21
492,2023-11-13,10:19:37,21
493,2023-11-13,10:28:46,61
494,2023-11-13,10:29:16,3111
495,2023-11-13,10:41:15,61
496,2023-11-13,10:58:03,11111121
497,2023-11-13,11:18:55,61
498,2023-11-13,11:42:34,21
499,2023-11-13,12:54:34,61
500,2023-11-13,12:57:39,111121
501,2023-11-13,13:20:04,1121
502,2023-11-13,13:22:23,21
503,2023-11-13,13:48:59,61
504,2023-11-13,14:20:16,21
505,2023-11-13,14:50:58,511111
506,2023-11-13,14:51:17,61
507,2023-11-13,15:06:04,21
508,2023-11-13,15:09:21,61
509,2023-11-13,16:10:47,21
510,2023-11-13,17:14:15,61
511,2023-11-13,17:17:45,61
512,2023-11-13,17:19:56,61
513,2023-11-13,18:10:16,111121
514,2023-11-13,18:17:21,21
515,2023-11-13,18:18:30,61
516,2023-11-13,18:22:13,61
517,2023-11-13,18:22:45,21
518,2023-11-13,18:23:01,3121
519,2023-11-13,19:33:12,11111121
520,2023-11-13,19:43:59,11111121
521,2023-11-13,22:49:48,61
522,2023-11-13,23:35:49,111121
523,2023-11-14,08:20:56,61
524,2023-11-14,08:48:34,1121
525,2023-11-14,09:08:17,11111121
526,2023-11-14,09:29:35,21
527,2023-11-14,09:46:48,21
528,2023-11-14,10:26:01,61
529,2023-11-14,10:31:58,21
530,2023-11-14,10:52:01,21
531,2023-11-14,10:52:42,61
532,2023-11-14,11:01:10,61
533,2023-11-14,11:16:21,61
534,2023-11-14,11:37:58,21
535,2023-11-14,11:42:53,21
